c_ut,count,mean,median,std,min,max,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,IQR,name,province,department,num_dpto,surface,Population_2024,density
30903,14697,1.226,1.081,0.893,0,3.922,0.136,0.411,0.534,0.652,0.857,1.081,1.321,1.598,1.764,1.957,2.522,1.230,Tiquipaya,Quillacollo,Cochabamba,3,344.4,61600,178.86
70701,713,0.744,0.630,0.559,0,2.52,0.133,0.226,0.299,0.370,0.495,0.630,0.787,0.967,1.064,1.173,1.534,0.765,Lagunillas,Cordillera,Santa Cruz,7,1122,5910,5.27
30101,198371,1.202,1.043,0.892,0,3.887,0.131,0.385,0.504,0.615,0.825,1.043,1.285,1.571,1.745,1.945,2.494,1.241,Cochabamba,Cercado,Cochabamba,3,289.3,661484,2286.5
70302,1670,0.771,0.645,0.591,0,2.557,0.122,0.236,0.294,0.362,0.505,0.645,0.813,0.989,1.110,1.241,1.658,0.816,San Miguel de Velasco,Velasco,Santa Cruz,7,9544,15177,1.59
70301,6772,1.024,0.821,0.840,0,3.653,0.121,0.265,0.339,0.424,0.620,0.821,1.046,1.334,1.513,1.710,2.289,1.174,San Ignacio de Velasco,Velasco,Santa Cruz,7,49102,67610,1.38
71002,2517,1.037,0.920,0.747,0,3.309,0.121,0.348,0.457,0.573,0.747,0.920,1.120,1.348,1.481,1.637,2.066,1.024,General Saavedra,Obispo Santistevan,Santa Cruz,7,529.4,16043,30.3
71401,3796,1.524,1.286,1.200,0,5.233,0.121,0.454,0.612,0.753,1.017,1.286,1.576,1.919,2.165,2.469,3.317,1.554,Puerto Suarez,German Busch,Santa Cruz,7,12982,17378,1.34
71005,2653,1.011,0.899,0.721,0,3.218,0.118,0.369,0.463,0.565,0.733,0.899,1.078,1.289,1.412,1.563,2.048,0.949,San Pedro,Obispo Santistevan,Santa Cruz,7,3081,15158,4.92
71403,778,1.026,0.907,0.782,0,3.577,0.117,0.307,0.378,0.438,0.684,0.907,1.096,1.361,1.494,1.684,2.183,1.116,El Carmen Rivero Torrez,German Busch,Santa Cruz,7,11011,8731,0.79
21501,801,0.758,0.627,0.588,0,2.521,0.115,0.219,0.280,0.342,0.496,0.627,0.782,0.984,1.102,1.248,1.652,0.822,Ixiamas,Iturralde,La Paz,2,37453,12487,0.33
