Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km
C1,PICAFLORES,Santa_Rosa_Beni,3.926045016077171,0.0870619334182219,SIN,40.73,1608.72,False,5.958
C1,SAN BARTOLOME,Santa_Rosa_Beni,6.543408360128617,0.1292412750419755,SIN,38.18,1608.72,False,9.931
C1,VILLA FATIMA,Santa_Rosa_Beni,3.926045016077171,2.00921547412078,SIN,554.05,1608.72,False,5.958
C1,SAN CRISTOBAL,Santa_Rosa_Beni,32.71704180064309,5.4416126300163485,SIN,191.86,1608.72,False,49.654
C1,EL MOJON,Santa_Rosa_Beni,2.617363344051447,6.038981999378066,SIN,2436.6,1608.72,True,3.972
C1,AWAISAL,Santa_Rosa_Beni,1.3086816720257235,6.83539232931307,SIN,5493.78,1608.72,True,1.986
C1,LA INDIA,Santa_Rosa_Beni,1.3086816720257235,24.07288134823556,SIN,19303.92,1608.72,True,1.986
C1,VILLAZON,Santa_Rosa_Beni,1.3086816720257235,25.29454351111948,SIN,20282.68,1608.72,True,1.986
C1,PALMIRA,Santa_Rosa_Beni,2.617363344051447,37.7265293591546,SIN,15130.14,1608.72,True,3.972
C1,PUERTO YATA,Santa_Rosa_Beni,2.617363344051447,42.3067833122065,SIN,16964.91,1608.72,True,3.972
C1,EL CANDADO,Santa_Rosa_Beni,13.086816720257234,42.31332195181801,SIN,3407.49,1608.72,True,19.862
C1,PUERTO TERESA,Santa_Rosa_Beni,13.086816720257234,43.55094797622824,SIN,3506.64,1608.72,True,19.862
C1,TACUARAL,Santa_Rosa_Beni,36.643086816720256,55.78810506288406,SIN,1613.75,1608.72,True,55.612
C1,EL ENCERRADO,Santa_Rosa_Beni,2.617363344051447,63.50141017293479,SIN,25455.15,1608.72,True,3.972
C1,TRINIDAD,Santa_Rosa_Beni,15.704180064308684,66.47691229970191,Sist. Ais.,4455.74,1608.72,True,23.834
C1,EL TORO,Santa_Rosa_Beni,1.3086816720257235,70.24694491574769,SIN,56297.14,1608.72,True,1.986
C1,TABLERO,Santa_Rosa_Beni,32.71704180064309,70.96366972608472,Sist. Ais.,2291.63,1608.72,True,49.654
C1,EL CERRITO,Santa_Rosa_Beni,13.086816720257234,81.11979809212923,SIN,6516.54,1608.72,True,19.862
C1,PONTON SANTA TERESA DEL YATA,Santa_Rosa_Beni,1.3086816720257235,89.33744156514074,Sist. Ais.,71591.85,1608.72,True,1.986
C1,PALMA FLOR,Santa_Rosa_Beni,39.2604501607717,96.49146513351825,SIN,2594.34,1608.72,True,59.585
C1,PORVENIR,Santa_Rosa_Beni,1.3086816720257235,104.77183596551316,SIN,83957.41,1608.72,True,1.986
C1,CAVADOR,Santa_Rosa_Beni,14.395498392282958,107.22197711212743,Sist. Ais.,7826.83,1608.72,True,21.848
C1,MACEDONIA,Santa_Rosa_Beni,26.173633440514468,108.31678246005876,Sist. Ais.,4356.48,1608.72,True,39.723
C1,AUSTRALIA,Santa_Rosa_Beni,73.28617363344051,116.6439811708952,SIN,1686.25,1608.72,True,111.225
C2,NAREUDA,Bolpebra,11.57516339869281,0.0109342292886367,Sist. Ais.,18.47,1608.97,False,17.57
C2,MUKDEN,Bolpebra,33.89869281045752,0.177625214874509,Sist. Ais.,22.97,1608.97,False,51.455
C2,VERA CRUZ,Bolpebra,15.709150326797388,8.064715369609612,Sist. Ais.,555.74,1608.97,False,23.845
C2,PUERTO ORO,Bolpebra,0.8267973856209151,12.610236417352093,Sist. Ais.,16008.72,1608.97,True,1.255
C2,MOLIENDA,Bolpebra,4.133986928104576,17.982907348702575,Sist. Ais.,4578.36,1608.97,True,6.275
C2,AGROPECUARIA EL CEIBO,Bolpebra,27.2843137254902,18.360884970362957,Sist. Ais.,723.04,1608.97,False,41.415
C2,CANAAN,Bolpebra,8.267973856209151,20.596783597606628,Sist. Ais.,2629.39,1608.97,True,12.55
C2,NUEVA CANAAN,Bolpebra,41.33986928104575,21.648197546237704,Sist. Ais.,566.52,1608.97,False,62.75
C2,TRES ARROYOS,Bolpebra,9.094771241830063,23.48607962742746,Sist. Ais.,2725.03,1608.97,True,13.805
C2,EXTREMA,Bolpebra,4.96078431372549,23.74189529787581,Sist. Ais.,5035.39,1608.97,True,7.53
C2,BIOCEANICA,Bolpebra,14.882352941176473,36.6360276698783,Sist. Ais.,2598.52,1608.97,True,22.59
C2,SAN JORGE,Bolpebra,14.882352941176473,42.188919712937626,Sist. Ais.,2989.72,1608.97,True,22.59
C2,NOHAYA,Bolpebra,10.748366013071896,48.45989467057796,Sist. Ais.,4744.61,1608.97,True,16.315
C2,SAN MIGUEL DE MACHINERI,Bolpebra,4.133986928104576,54.5501592850436,Sist. Ais.,13852.66,1608.97,True,6.275
C2,YAMINAHUA,Bolpebra,19.84313725490196,54.90199546439373,Sist. Ais.,2918.4,1608.97,True,30.12
C2,SAN PEDRO DE BOLPEBRA,Bolpebra,31.418300653594773,62.44392299099927,Sist. Ais.,2101.32,1608.97,True,47.69
C3,SANTA ROSA,Guayaramerín,20.60353798126951,0.0015664926191252,Sist. Ais.,17.55,1603.39,False,31.165
C3,26 DE MARZO,Guayaramerín,12.018730489073882,0.0027284078834997,Sist. Ais.,17.71,1603.39,False,18.179
C3,SAN JUAN,Guayaramerín,13.73569198751301,0.0053629048000885,Sist. Ais.,17.88,1603.39,False,20.776
C3,SAN AGUSTIN,Guayaramerín,38.63163371488033,0.0305693525726044,Sist. Ais.,18.3,1603.39,False,58.434
C3,1RO DE MAYO,Guayaramerín,11.16024973985432,0.0330630018451636,Sist. Ais.,20.58,1603.39,False,16.881
C3,VILLA PURISIMA,Guayaramerín,8.58480749219563,0.042019404413938,Sist. Ais.,22.61,1603.39,False,12.985
C3,CACHUELA ESPERANZA,Guayaramerín,25.75442247658689,0.0420670632737001,Sist. Ais.,19.19,1603.39,False,38.956
C3,SAN MIGUEL,Guayaramerín,27.47138397502602,0.0704400944988156,Sist. Ais.,20.16,1603.39,False,41.553
C3,ROSARIO DEL YATA,Guayaramerín,33.48074921956296,0.0751746000907297,Sist. Ais.,19.83,1603.39,False,50.643
C3,GUAYARAMERIN,Guayaramerín,194.8751300728408,0.08578055348348,Sist. Ais.,17.94,1603.39,False,294.766
C3,27 DE NOVIEMBRE,Guayaramerín,12.877211238293444,0.1087731365772857,Sist. Ais.,26.33,1603.39,False,19.478
C3,LA UNION,Guayaramerín,12.877211238293444,0.1460826426691154,Sist. Ais.,29.37,1603.39,False,19.478
C3,8 DE FEBRERO,Guayaramerín,14.594172736732569,0.162632702085984,Sist. Ais.,29.16,1603.39,False,22.075
C3,SAN JOSE,Guayaramerín,11.16024973985432,0.1766261060875343,Sist. Ais.,34.07,1603.39,False,16.881
C3,ESTANCIAS DISPERSAS,Guayaramerín,1.7169614984391262,0.2712324362636584,Sist. Ais.,183.1,1603.39,False,2.597
C3,SANTA EMILIA,Guayaramerín,0.8584807492195631,0.3051661081622357,Sist. Ais.,390.18,1603.39,False,1.299
C3,SAN PEDRO,Guayaramerín,0.8584807492195631,0.739664055451882,Sist. Ais.,920.84,1603.39,False,1.299
C3,SANTA EMILIA,Guayaramerín,4.292403746097815,0.7624578041117839,Sist. Ais.,203.71,1603.39,False,6.493
C3,CACHUELA MAMORE,Guayaramerín,22.32049947970864,1.5299242601810832,Sist. Ais.,89.34,1603.39,False,33.762
C3,PUERTO CARRERO,Guayaramerín,7.726326742976066,1.644059457153869,Sist. Ais.,240.58,1603.39,False,11.687
C3,EL PORVENIR,Guayaramerín,4.292403746097815,1.911770126979268,Sist. Ais.,484.45,1603.39,False,6.493
C3,SAN FRANCISCO,Guayaramerín,10.301768990634756,1.925510907587795,Sist. Ais.,213.45,1603.39,False,15.582
C3,SANTA LUCIA,Guayaramerín,1.7169614984391262,2.863110516569265,Sist. Ais.,1765.85,1603.39,True,2.597
C3,SANTA FE,Guayaramerín,18.886576482830385,4.843480361908091,Sist. Ais.,286.36,1603.39,False,28.568
C3,VILLA UNION,Guayaramerín,12.877211238293444,6.248217718386594,Sist. Ais.,526.21,1603.39,False,19.478
C3,SAN PEDRO,Guayaramerín,9.443288241415193,6.274083122076944,Sist. Ais.,714.08,1603.39,False,14.284
C3,VILLA BELLA,Guayaramerín,22.32049947970864,8.115286435414435,Sist. Ais.,398.68,1603.39,False,33.762
C3,2 DE OCTUBRE,Guayaramerín,40.34859521331946,8.669628604964418,Sist. Ais.,242.76,1603.39,False,61.031
C3,SANTA TERESA DEL YATA,Guayaramerín,3.4339229968782523,8.876812568259037,Sist. Ais.,2727.82,1603.39,True,5.194
C3,SAN FRANSISCO DEL YATA,Guayaramerín,14.594172736732569,12.59032490636806,Sist. Ais.,921.99,1603.39,False,22.075
C3,14 DE SEPTIEMBRE,Guayaramerín,20.60353798126951,13.910391977976571,Sist. Ais.,725.35,1603.39,False,31.165
C3,SANTA TERESA DEL YATA,Guayaramerín,42.92403746097815,14.033204806109612,Sist. Ais.,360.25,1603.39,False,64.926
C3,18 DE JUNIO,Guayaramerín,35.19771071800208,14.039664418309304,Sist. Ais.,435.69,1603.39,False,53.24
C3,PUERTO CARRERO,Guayaramerín,1.7169614984391262,20.54662526974061,Sist. Ais.,12564.42,1603.39,True,2.597
C3,SAN ROQUE,Guayaramerín,15.452653485952132,20.553844102869927,Sist. Ais.,1412.07,1603.39,False,23.374
C3,PALMA SOLA,Guayaramerín,9.443288241415193,31.92040149395029,Sist. Ais.,3561.55,1603.39,True,14.284
C3,RANCHO GRANDE,Guayaramerín,3.4339229968782523,36.30193075203629,Sist. Ais.,11101.49,1603.39,True,5.194
C3,BARRANCO COLORADO,Guayaramerín,25.75442247658689,39.30122744948912,Sist. Ais.,1617.45,1603.39,True,38.956
C3,SAN JUAN DEL MAMORE,Guayaramerín,10.301768990634756,48.62838206877869,Sist. Ais.,4966.69,1603.39,True,15.582
C3,PUERTO COIMBRA,Guayaramerín,7.726326742976066,58.11617418825754,Sist. Ais.,7903.93,1603.39,True,11.687
C3,SANTA FE DE LA CRUZ,Guayaramerín,6.009365244536941,60.21815795507517,Sist. Ais.,10523.95,1603.39,True,9.09
